8764 26716
3470 5816 966
8645 5536 -416
3142 4767 630
8154 8123 476
2076 2976 -969
6324 642 27
7281 3790 181
1812 6825 562
7306 2847 5
5998 7625 733
5479 4016 -279
5792 5223 -394
7364 8435 -762
3813 1357 149
6256 2369 -89
5773 1529 755
6122 1109 -533
2451 6819 -616
6180 2737 -603
3583 6303 719
6660 4154 824
1865 6702 760
7112 4561 -846
3616 3353 -171
8018 6569 977
7664 2193 182
6439 5999 -910
3128 7224 589
7879 766 -944
2259 5075 582
4760 4314 316
534 2320 -845
4768 1837 540
1176 7498 -291
4167 7352 -113
1169 5394 -305
4719 3135 -344
4265 6997 -504
785 6822 88
6385 7571 -377
2028 7914 482
752 3673 -827
8504 4151 -788
5840 2817 -356
1217 8516 551
8491 355 348
1786 7271 -836
5426 970 -736
1722 4415 -517
6879 7208 294
1421 390 23
6695 1931 -121
6195 2828 525
2673 6054 -311
251 4708 -64
859 2455 -756
2225 6554 -312
3512 7828 762
3391 1105 -428
147 122 -901
1705 4561 -811
315 1954 851
8294 7231 -207
3928 7452 -425
1081 6091 79
4788 3770 -21
4282 7570 125
7005 6014 -724
5028 5803 -474
212 7883 112
4354 7315 -601
5417 3619 897
935 8532 45
1340 7344 7
5932 1632 -620
3359 3542 188
2412 5709 559
5886 5668 536
1123 4099 195
5913 5201 -865
5179 7722 -687
2232 7199 253
4735 1787 690
2156 5416 707
1474 3340 -154
2335 603 595
878 4184 -724
3275 2664 -964
534 8085 -739
6572 917 537
8104 569 23
1793 2689 196
8064 5490 706
7319 4554 38
8168 3162 -377
4739 2768 -676
4650 621 -857
421 449 189
6545 8743 -755
8586 555 -843
7043 8408 360
1130 1466 -548
7859 5862 574
6764 1064 817
4953 8203 914
4636 7083 823
5942 8457 586
2445 6572 -138
5901 8113 -714
8703 830 -156
1402 4420 -691
3357 6323 611
7223 2414 352
7396 8695 -539
5241 6958 -494
759 5008 742
5286 685 -101
207 8440 455
5712 8548 935
3459 2701 419
7304 2812 -666
260 7600 -223
6925 1473 26
1531 3731 935
6211 6515 987
7256 7939 -103
4549 581 -673
5958 608 -252
7702 7067 167
3921 3973 -670
229 1332 975
5555 3752 684
6742 21 -978
5027 5773 237
3735 6193 99
6624 6937 20
3425 5681 -350
7984 7658 724
147 2229 434
6648 2781 83
6181 8334 -198
5672 4230 -366
7921 6577 101
490 2823 880
2444 5336 681
6341 4735 42
561 5287 105
7785 5417 -496
583 2018 -661
1933 6850 852
6409 2967 213
6847 1414 703
7902 3617 777
4617 6232 -334
4603 2505 2
8072 2672 628
2312 319 596
4509 1808 -113
2260 6223 -892
5711 7176 -21
7644 2593 96
8109 1185 -666
1495 4107 -155
211 1508 -309
1898 3297 -163
8623 7648 -355
8151 3933 264
7505 4451 -735
4449 3155 800
1496 8737 584
4733 1797 -672
8509 3027 -645
7264 2953 924
8618 613 829
1765 6026 94
8158 4166 617
4195 3115 805
4710 2796 -600
535 517 -317
8499 7727 291
5090 361 239
514 6004 298
3571 6632 521
4001 5691 82
2978 7827 497
6932 3994 -861
6223 2049 768
1338 4311 -406
6575 8238 984
1707 3629 -835
3605 3494 -483
4029 4980 472
5202 6905 -703
5757 3266 790
6199 313 286
5808 3380 303
755 4525 304
5642 6368 327
2641 2464 -48
900 6565 -509
4165 7300 -565
1797 918 583
2030 7451 312
3898 5790 882
1997 5685 628
7881 5941 668
2674 1858 -597
3003 1207 -536
3486 1886 26
4559 4081 -419
8426 7792 630
7326 4822 686
1015 4744 817
2872 694 -337
72 2028 196
2603 311 -482
5942 2829 -997
8596 5278 91
6126 3062 340
2937 4559 -929
4366 4465 -509
8051 5826 349
5223 7628 189
6953 8119 362
7624 1651 232
4061 6593 -149
6365 7861 749
2152 6482 586
1852 4356 -910
7585 8565 770
1301 515 -438
4028 5335 469
3150 3680 -985
826 4441 757
2670 5961 -961
7496 4715 908
2011 4467 -612
1871 7234 -646
3199 2060 -864
5853 7727 -666
5464 954 -311
6757 3 -84
1787 4914 695
6294 1806 -985
2470 6264 481
1397 6849 146
3780 3470 -214
2813 2786 -506
6558 8653 -110
3482 2560 166
616 2619 795
1512 6192 125
7773 8058 350
3876 8046 -15
395 1806 545
7859 3091 -734
129 4612 -297
2098 1805 -71
1488 689 606
7992 3032 -583
7395 2410 -897
5348 6570 163
5169 4962 -848
730 3247 620
2271 1097 384
8044 1544 -451
6248 4322 546
378 777 836
1989 4701 -382
7987 1020 -232
7027 3325 558
5388 5534 -240
517 1132 990
5831 7750 -877
7376 6858 -212
534 8513 -799
3104 3537 -408
3962 1604 -816
7200 4525 140
2796 463 904
7531 6517 239
6070 2963 -189
2113 1175 -198
4128 2639 969
7342 1398 789
7203 4796 398
2589 4140 508
4800 1407 617
6645 3781 -329
2574 8563 -1
604 3406 292
7147 7590 -986
1173 1614 -891
5292 2360 -701
6185 1628 -600
5543 2098 453
7788 3877 392
7421 6757 718
6995 2270 865
5436 4922 853
5389 4096 661
6941 5109 -375
5694 8473 -940
5722 7693 130
3495 464 -62
8264 7597 368
2978 3084 994
6591 6081 -801
411 7445 184
6535 6609 -337
3419 7900 437
3502 5143 968
5472 3101 647
2756 7999 576
5824 1255 -799
7908 7062 -918
1364 5339 988
4397 864 622
8624 8026 941
4795 1408 674
8186 3205 -814
537 7681 -759
7702 4295 -756
3152 5951 377
4594 7406 -137
8564 4938 -30
4723 2416 246
8302 6454 -424
8273 7545 611
2351 1602 742
84 7589 174
3849 4821 -999
7980 4455 -875
299 6684 -332
3905 2778 235
5774 3602 -163
69 3131 -94
1676 8407 25
6168 4958 343
489 1580 771
824 3930 73
4784 7811 -49
7462 6609 -311
4499 4704 -486
233 4095 -210
3445 2435 858
3052 4951 486
4095 6395 507
4847 1881 352
3275 1639 84
3387 6406 887
2499 8567 -510
3020 2652 -220
7985 6978 221
1852 7143 -576
1610 6289 -34
1602 4788 -185
6199 1261 -77
4741 335 452
3212 3835 941
8243 3787 878
3722 8209 -446
8358 2658 283
2129 1292 -994
5490 3697 -655
465 3007 366
6126 6319 -891
1550 1354 52
2083 822 972
6835 3385 201
4783 5355 -863
4396 1879 -823
7068 6338 370
2679 1565 930
1125 4893 -802
6775 2749 513
6304 7958 -82
2596 2085 45
4085 1629 -755
69 1456 621
8346 1302 -308
4048 4299 -129
6685 7764 -834
8757 6173 981
560 4166 -484
6248 7482 413
4957 1326 -733
797 2212 842
1563 6559 -798
1472 6530 871
6887 6900 -588
5248 3821 -816
6052 1604 222
2727 1702 247
8575 1471 141
5980 3330 621
4755 1802 609
6470 5897 -304
3020 1972 -732
7859 5788 52
4764 2574 323
24 3647 386
330 3308 -438
1878 2608 -202
1085 757 628
199 4713 880
4135 2707 151
8747 1891 -696
3399 5049 203
6098 5995 601
3823 4333 144
2757 6917 -141
4527 5077 118
1637 5860 34
174 3840 735
2037 3008 587
2728 5473 -972
6418 1598 753
4403 6827 -954
8168 2900 -98
4090 3291 983
7826 1814 -73
7583 1819 234
5115 2390 -704
5836 6018 775
5897 1857 -694
1972 3234 -736
670 6345 -826
2434 3452 664
2183 2142 -988
2144 963 993
6580 543 803
5776 6975 257
2160 1175 952
4557 5045 219
4234 4452 845
8462 7567 794
1082 6025 872
4602 697 810
1700 6281 357
1507 1393 -114
7476 7361 626
2216 5112 682
6351 7788 29
3700 2889 -670
2178 3284 -982
5988 8332 -234
6272 6866 287
2308 363 -992
2452 2834 320
5399 3336 469
903 5731 217
7911 7180 -432
8489 6741 -874
4000 7168 294
2176 3214 475
5528 7337 969
7587 3674 824
72 5502 996
3282 3793 722
8324 7055 966
8542 1053 -883
4422 3642 52
989 4586 -316
8327 601 404
7767 1388 -868
7058 6409 -419
5133 6516 -16
2299 6750 -546
5284 713 -278
7015 4429 -658
7154 1133 724
6089 2994 41
6304 5755 -824
7162 5012 373
3444 7298 -539
7534 2079 864
5019 6829 -923
1825 4246 -117
3574 6393 -921
1891 3765 -98
1590 7575 325
3820 6719 498
3622 7496 662
7089 5758 122
5041 3957 -129
482 3955 533
7977 8645 -702
3926 8676 -532
4010 3477 -5
7840 7364 264
6448 3262 622
4750 3794 -519
4875 949 -1000
5604 8028 321
7321 8681 -149
6579 1332 941
7364 5536 364
2666 1191 -43
7348 746 913
5531 6680 282
3105 1346 -50
3928 7399 891
1786 8544 763
8059 2639 -560
5578 8470 508
7688 7512 17
890 5041 237
1622 7189 332
7311 4526 -807
8115 8439 -725
7229 8265 18
3700 3542 -709
7761 5420 592
1340 5803 539
3061 5792 316
666 5584 207
8721 2969 -649
1063 4803 -387
188 1156 -966
696 6662 166
1832 5537 545
1573 3205 366
8248 2605 -863
4298 3563 -562
8170 3341 390
6084 5653 203
473 7100 -490
8326 4632 410
2192 675 884
34 8355 -620
8000 2707 -328
7427 4127 -411
5518 1026 808
6154 6496 422
8073 5089 -325
8629 4267 -469
3420 5687 113
582 1044 942
1732 5551 588
5964 704 980
728 4963 -695
7680 5135 -859
3377 947 -516
2525 5969 317
2751 6755 603
445 8652 -194
6583 6874 -420
1444 2424 429
1569 278 -414
6495 2223 -948
3038 8175 362
2346 8223 610
3623 5852 688
7327 3278 285
1853 5954 -238
5790 1292 578
694 6054 175
4926 5498 -779
2813 2183 -108
4778 1800 438
48 6213 -308
1724 5576 -483
7269 1600 -774
2877 255 -473
8412 2237 400
3510 5367 -583
2500 2849 -760
488 703 708
4807 1728 631
744 5126 -78
2837 4916 -153
8367 6918 -497
6272 496 -635
2165 3462 869
5505 4023 -486
1920 1108 643
7986 6949 -616
3024 8751 424
4711 2753 -543
5957 4505 168
5594 307 -43
1282 6776 -870
3616 2805 62
4462 7745 571
7657 1569 -319
3096 7876 761
945 4700 52
6133 5630 43
7166 4958 960
4859 6548 197
1107 3877 -814
7788 6454 -846
5554 1544 -179
3658 51 194
3836 2945 7
6153 6420 388
6089 1269 -779
4387 6035 859
7078 3246 507
4615 5620 -451
3735 2645 -800
4618 2640 -160
488 405 -964
7280 1441 34
4827 2634 -13
7093 6782 -509
8707 6156 -387
836 5090 609
6657 958 510
545 367 811
1747 2497 -759
454 1521 -187
1351 818 498
3154 1159 -615
5612 877 -682
5456 3460 240
2090 6581 672
3005 588 83
186 8331 -663
216 1625 370
1525 7380 883
5191 6277 -246
7061 4922 424
1033 7916 455
5406 5004 862
548 5173 -678
6589 8764 -302
804 5900 132
3848 3445 -39
7727 934 384
5054 4260 453
6683 6797 374
3414 6466 -304
5885 5386 -607
5946 2677 121
6623 7095 -936
1329 3893 722
3419 417 99
847 7667 -720
2144 5329 -525
2257 2525 -325
45 5078 580
753 5064 585
692 6658 -413
8604 2341 -182
6008 105 -40
3655 850 -759
8563 7272 -437
3210 7580 -979
2399 3062 -784
3140 7693 -815
6839 5858 -786
1942 2798 788
1892 2446 -649
3478 4111 -904
6369 7539 -689
7179 5125 162
4961 5832 149
7650 2259 468
5585 5527 -452
1482 103 -866
8368 5440 -28
7188 846 95
6923 6780 -792
1635 2972 -753
6703 805 807
6978 1508 493
5623 6698 253
3384 1135 953
5534 6764 -973
6284 6765 -96
7386 7041 -173
7646 3395 911
8464 834 -132
4537 3316 751
6404 6311 -301
6349 3581 -530
756 8652 -359
2019 1735 -287
4557 4496 479
4273 101 -798
8379 5764 762
3331 6958 -763
5330 2031 -752
6149 8296 340
2163 5499 -72
1078 4958 299
7481 8525 985
3980 4030 227
26 1757 -541
455 1610 -619
2946 5040 871
7673 4069 -883
5647 1231 -257
3958 1542 -885
3889 2411 312
418 5636 711
6597 1837 991
7682 3305 146
168 3461 575
4903 6424 645
2530 4691 -275
3255 2684 -675
6953 7612 -885
630 6175 978
1559 3159 -441
560 5105 691
7868 7154 -974
3549 6476 -507
1068 3661 404
5476 3048 -735
3554 7901 864
3618 673 313
6177 8546 -420
3971 8713 572
4340 3697 -179
4572 4474 690
4655 1580 544
613 6204 540
4398 1159 287
1568 1384 -898
7894 434 458
6919 1573 -306
5528 2896 -308
3811 707 380
3609 57 793
3451 3066 -393
8730 1350 515
2436 2500 46
1109 6634 465
933 8621 626
1132 7863 1
6056 1625 -315
590 6065 549
7894 2281 -52
2487 1065 972
8044 7967 361
7318 1781 224
3726 5301 -729
5504 1023 -320
4071 7087 -406
8117 4575 -585
7376 7338 27
7753 6827 -74
3894 4961 849
713 505 91
2571 7215 802
5175 7685 404
8066 1744 604
1344 8605 -992
5206 5134 289
4651 6079 -228
2705 2990 -843
1733 3390 600
5952 2453 -446
7586 1870 -68
7867 6749 744
2299 1037 -812
4662 8031 -328
4495 2534 518
793 1414 790
5312 3893 -288
4059 4495 -17
1543 5318 -894
4622 5109 -963
3963 1128 761
3037 1514 963
3156 3403 368
6742 5564 950
2475 6621 -245
466 2658 -928
4855 1325 64
2920 6790 -389
2268 2398 -883
1623 2761 325
7695 8686 -205
1343 3395 -785
782 647 -98
3414 3929 -652
2193 3731 833
1568 5642 906
8037 8532 -964
5017 5931 124
8750 3924 -502
94 7609 395
7985 4730 -478
1841 1629 -528
4497 3564 9
6031 2699 -705
7029 5600 -651
2957 3266 966
1565 7700 171
4807 2105 -86
5996 3254 -749
4689 5382 -172
5885 8246 -985
7706 4432 -260
6077 6937 -453
7574 5548 633
1332 978 959
5480 3382 536
2688 1157 -818
3024 7883 757
6685 4607 -985
3504 6139 -299
4279 3 674
6553 2865 576
6878 8237 958
7304 2500 -661
5526 2313 637
7737 1251 849
1607 4019 -952
3658 1228 810
8658 4086 -391
4631 5121 234
7810 1624 195
1740 8683 545
3520 5466 -841
6253 5466 986
3212 2978 -213
389 813 78
3015 5326 176
4868 734 825
4950 8443 805
4304 3621 -313
5372 530 -199
2045 737 -156
2612 59 899
6905 5378 -59
1226 6331 -562
5735 2352 -906
7073 6821 -206
4839 2746 189
395 7858 163
8191 5192 605
2616 8315 -299
2672 4685 -106
6302 5698 382
829 6843 552
5540 40 927
8165 223 722
4881 5693 659
4162 4250 36
4701 5282 105
2559 1734 -1000
4336 7735 -568
2893 1404 310
6462 8043 -993
6978 7765 623
2462 5435 -866
1623 2169 -482
3633 309 45
1956 8376 -562
1585 7474 -252
4564 4338 886
2499 7764 -898
2992 4022 324
2772 6057 -257
3982 516 -936
692 8357 -766
6443 3326 -941
2361 6667 -106
5653 2716 -827
1128 4019 -236
5539 5782 -47
508 2869 886
8522 5081 -78
7321 1623 -647
2637 4129 -544
191 463 190
7535 3276 502
854 575 -850
4922 7265 -944
5352 5894 390
5140 6298 -258
1572 7505 -578
977 1073 923
4067 5074 510
2620 8103 -347
4710 2875 130
4024 3363 -5
4835 6110 955
1049 6167 511
88 15 -54
144 776 -99
6687 6171 -24
2387 506 -786
1258 7812 157
7817 6033 848
3804 6336 441
3411 2187 -665
7523 678 -758
7901 7497 -355
7418 3832 355
5742 5814 769
6428 1130 512
4009 7325 81
4799 8174 -591
3552 3510 -660
5557 809 581
6936 4689 -844
5116 6788 -229
5247 3132 411
2633 647 -199
7876 4649 -328
4337 8520 -293
4020 4425 -980
6804 2049 974
2142 2351 -774
8030 6696 612
6448 7110 644
1891 1589 -205
1913 3791 332
7169 902 697
6878 5564 -466
1185 7108 -886
7937 5726 521
4185 819 -828
7182 1211 -865
304 609 -314
6291 1409 -111
3033 5635 503
1815 5551 72
5412 3850 -822
3124 7406 -865
5314 6054 159
4616 325 73
1388 2512 -960
7910 706 -313
537 2798 680
135 3523 -423
2362 4629 32
7721 5064 -550
5146 6276 381
4866 5992 519
5740 5412 283
2029 6561 971
8587 4427 86
8095 2811 -658
4013 1584 -652
6572 4375 -957
5564 5818 475
6240 2970 -599
445 201 -890
368 953 -490
1044 3377 -436
7462 1989 -211
7437 4819 539
7279 748 -835
3678 4152 -680
4448 4840 -663
1392 2311 -237
3024 1778 -812
3263 5363 -82
1223 7886 -30
2312 5829 362
5094 3129 632
8764 1612 -855
4827 2224 175
7752 4996 -227
2119 2433 -450
1760 2555 -141
8173 2931 -357
4687 3924 -3
3506 342 931
2069 4308 -739
4997 3137 872
930 2457 -460
7127 2808 291
4511 7764 95
878 141 668
7929 5342 284
1226 7820 357
1817 3947 -397
8472 3372 57
5889 4468 -322
4656 4298 510
3672 6590 573
7867 4260 -121
5181 8088 500
3690 5973 562
6333 8516 447
6023 3351 869
5966 4247 238
677 4665 197
7115 1779 -467
5509 4781 -592
3219 1013 -429
3184 2818 307
1826 676 328
3618 8277 930
3925 5357 -80
3728 602 689
1421 3783 272
5845 4352 -813
8171 3473 836
5127 1027 -479
8549 34 200
2410 5886 -344
6789 7821 36
6568 7193 56
115 6798 -89
2019 2702 809
5781 3398 952
8435 7384 -610
4998 2324 768
5166 3187 820
2418 3763 791
8327 4351 621
3264 1483 -738
357 3118 203
7778 3520 780
2023 4799 391
1047 1458 -228
3555 5538 648
6925 5579 6
1815 8458 -201
8512 8047 -21
7358 2770 296
6847 7210 767
4594 166 -950
5937 7467 -869
1993 4327 856
7053 3030 -672
4976 3465 70
7209 1720 711
6991 3685 -111
665 3258 157
14 8205 680
3107 4674 -913
658 4947 987
6023 6472 -408
7323 8642 83
4011 30 705
5224 5019 297
3066 2027 196
4518 3805 -401
4301 6037 329
6622 7537 -216
5584 3824 -570
4559 6733 -632
444 231 599
7008 1164 -233
7433 1089 83
1443 5228 300
6605 108 -413
6430 7 779
6868 5640 697
3078 6359 -311
5508 3679 -479
1430 2723 -424
5621 2753 -485
2776 3297 911
8409 73 -652
4868 351 -639
2185 8509 751
1350 5742 -477
7703 2015 -199
6742 2925 -849
8323 8271 554
8121 3201 -242
2212 2388 313
268 3933 -903
5405 1512 650
7161 6607 -111
519 3740 136
2028 7068 772
3220 1091 209
764 3888 -574
2342 6584 767
4199 6794 -395
6896 7281 268
7742 2927 942
3176 2474 -626
537 4632 -236
6233 5058 -379
6190 2623 -215
7415 1948 371
4654 6425 -981
1139 7865 -543
3682 921 210
7102 692 -386
1240 342 871
869 2566 414
2583 3146 629
2415 7938 -640
5938 796 405
4962 5369 157
5558 745 -4
3096 13 -74
6055 2570 -72
5337 2665 -111
5445 2674 -805
7068 59 833
1125 6873 -861
5389 110 396
7437 6314 283
7158 4326 -464
7096 8153 786
8179 3089 864
1521 8629 957
1489 5022 -957
875 7050 -348
7578 1506 -82
404 8727 -793
8626 1884 7
4074 1142 -981
4059 8737 887
1131 7345 494
4123 4926 499
3460 4622 431
6651 7821 -109
7780 1703 -66
5226 3118 -954
4286 7167 -380
1655 8080 -271
7254 5513 710
1224 5811 16
5219 5595 -386
5974 2726 -434
2465 4163 -101
3414 8715 719
5757 6511 898
6970 3124 46
8563 8622 -489
6153 5144 450
1276 6632 878
5233 215 -689
8312 354 -255
4776 6410 750
3770 6850 -314
394 3698 -638
4455 1806 -377
1813 1405 99
1008 4791 -648
8662 7199 -573
7121 1781 769
8189 1877 -129
2083 8183 66
8112 6509 -566
3653 1382 -808
4681 4067 98
7929 3239 714
2309 8432 6
1107 5706 -579
6342 8681 -594
3971 1882 377
5757 8748 -705
197 4860 941
3422 7393 827
4474 2410 -370
8048 7 237
881 5058 684
3834 7813 -40
6190 3557 11
7135 5171 257
4980 7461 338
7755 5281 968
3447 6603 -661
1165 5174 -947
4842 1159 -591
4382 1427 655
8502 7693 -133
483 45 153
7858 760 795
2376 3689 -403
7220 2948 -845
931 8234 684
7472 2066 -412
851 7475 -591
345 3502 944
5342 8272 -920
965 8064 -975
7872 5474 -426
8706 8556 709
332 7556 -323
5416 6232 -429
5538 3950 -815
7911 1771 -268
2954 5833 -220
3995 5053 -895
155 314 -261
8521 4309 690
6616 3918 -445
1715 1199 424
6961 3135 368
4681 3738 233
7227 8148 -97
7914 4613 939
8172 7974 -194
2787 7171 682
4560 7400 897
7156 4364 -563
3589 5 -486
5154 5922 -697
5901 2687 690
436 529 -940
859 7834 -104
3977 6839 -507
3810 1009 990
1379 6158 -672
2952 5584 395
3906 8632 -424
834 4112 557
6543 4300 -138
5583 2614 -892
3241 1718 401
6931 8097 1000
3253 3905 195
7989 5809 -895
4127 1129 508
6043 7251 -596
4120 7353 359
7823 178 564
6985 8015 332
7050 3077 -214
3906 7456 -136
6802 5751 68
6465 4599 449
45 2657 -798
2475 1180 -33
447 1424 961
3616 2761 673
2928 1084 -251
1059 4040 735
1272 6308 366
4456 17 480
3727 142 533
5499 1675 242
7946 3074 -462
8151 7389 137
8511 1817 767
8758 4487 769
3455 5443 121
1652 5554 463
2785 5820 77
1322 7522 -959
4459 71 884
7695 8635 705
3854 1080 -927
7522 8733 -130
4251 1718 -458
7532 486 -158
362 6602 -878
1168 1591 -775
3691 6940 119
4562 5861 610
5791 6472 -344
430 1452 -643
4574 3912 -177
1878 7744 -706
2745 6426 -617
426 5697 651
4921 2943 -548
6861 7504 112
2752 6930 -660
7021 5777 773
8118 3972 -380
5572 8661 -96
1125 4511 -616
4074 4128 -563
784 2152 497
656 4093 373
4215 3859 -635
7105 1585 -807
2169 3263 -427
7015 7143 986
7785 4762 140
1788 2341 993
1140 4116 284
709 4619 -243
6112 4925 -32
310 8565 -391
402 2316 234
7798 6514 663
702 4912 -685
8382 4956 -806
788 2254 849
8130 1708 -203
1721 2694 72
3281 1910 -945
7074 8631 636
1848 1618 -204
5599 5092 -925
3798 2955 -278
1182 3025 612
2070 606 -349
2211 8688 361
620 7874 855
5637 7962 -911
919 4824 -384
5891 2668 336
6029 3107 664
5326 6003 -534
4552 2077 -899
1312 6477 475
4706 8539 -944
5655 4927 -527
148 6843 166
627 7155 410
2156 5984 609
7891 2737 798
1378 6838 118
