32
1161	1926	1962	2029	1331	1696	1797	1511	1128	1058	1520	1087	2014	1933	1047	1475	1182	1369	1868	1526	1854	0	2034	1786	1835	1118	1313	1064	1344	1447	1060	1617	
1332	1105	1202	1072	2039	1036	1314	1791	1912	1095	1748	1545	1114	1573	1436	1250	1980	1341	1503	1205	1159	2034	0	1424	1417	1762	1796	2005	1733	1737	1434	1904	
1571	1970	1410	1761	1075	1278	1220	1844	1478	1034	1955	1718	1470	1132	1603	1782	1122	1316	1289	1488	1267	1786	1424	0	1445	1775	1492	1899	1919	1495	1113	1453	
1254	1954	1384	1556	1644	1259	1787	1875	1513	1840	1112	1613	1662	1346	1073	1822	1264	1555	1960	1781	1889	1835	1417	1445	0	1345	1330	2019	1850	1439	1054	1705	
1262	1167	1514	1181	1327	1741	1029	1360	1638	1175	1739	1224	1063	1936	1604	1133	1256	1292	1785	1627	1968	1118	1762	1775	1345	0	1721	1747	1652	1708	1891	1629	
1948	1178	1740	1322	1817	1665	1856	1911	1101	1373	1570	1714	1089	1790	1902	1225	1914	1755	1963	1628	1635	1313	1796	1492	1330	1721	0	1964	1852	1305	1871	1467	
1706	1965	1451	1783	1800	2047	1732	1819	1135	1763	1141	2048	1578	1340	1777	1988	1246	1620	1165	1917	1472	1064	2005	1899	2019	1747	1964	0	1162	1632	1281	1357	
1993	1404	2035	2028	1428	1896	1659	1995	1390	1636	2013	1773	1446	1466	1539	1142	1720	1080	1468	1806	1981	1344	1733	1919	1850	1652	1852	1162	0	1149	1548	1269	
1111	1618	1771	1448	1989	1070	1433	1730	1853	1397	1508	2002	1906	1043	1716	1275	1621	1544	1510	1240	1729	1447	1737	1495	1439	1708	1305	1632	1149	0	1204	2042	
1907	1961	1577	1920	1561	1655	1903	1749	1691	1104	1869	1585	1348	1302	1462	1815	1992	1347	1924	1719	1388	1060	1434	1113	1054	1891	1871	1281	1548	1204	0	1138	
1438	1530	1798	1271	1901	1124	1624	1987	1858	1512	2046	1576	1055	1219	1666	1957	1574	1778	1864	1207	1274	1617	1904	1453	1705	1629	1467	1357	1269	2042	1138	0	
