843 922
780 528 469
196 458 -280
124 839 742
640 184 862
320 569 152
627 490 -715
517 350 903
138 77 -376
54 673 -381
395 681 211
780 74 428
525 360 -743
82 81 8
271 623 500
451 374 -179
296 744 718
196 769 851
59 757 834
763 539 676
524 339 962
774 563 -14
449 660 -59
705 475 -318
564 740 -330
695 816 -181
837 188 79
257 3 878
633 14 358
376 489 -745
215 412 -147
738 160 953
769 467 -566
257 549 445
54 373 783
432 308 593
767 17 747
276 578 -301
162 208 -907
560 833 -330
546 572 45
817 514 708
98 675 -556
800 195 933
379 260 938
826 744 80
52 353 784
599 490 109
366 512 956
539 842 -110
470 76 -254
263 93 -214
80 485 159
271 481 -914
101 706 923
768 804 -574
303 677 -472
141 440 -152
843 181 -626
102 22 536
41 203 81
492 378 -797
796 609 -79
726 705 318
781 53 939
623 746 446
465 179 -231
837 731 254
747 627 197
441 739 156
248 780 -655
103 71 279
202 487 -634
214 745 761
420 224 -604
670 729 463
306 800 -319
470 313 225
705 503 20
529 583 25
311 86 -701
516 215 -558
385 651 312
832 336 -63
279 565 -478
629 581 -914
732 190 255
655 633 -1
703 631 -864
467 351 -206
349 208 -840
409 307 146
498 431 -549
407 769 -939
343 512 -711
546 829 30
838 207 855
728 28 -374
327 534 290
256 514 -958
821 135 676
250 571 234
151 404 438
192 318 -602
134 334 -548
154 443 29
735 326 -502
508 299 -133
676 774 677
701 709 -60
341 361 -150
411 674 -965
749 201 -239
40 417 -414
720 272 -601
64 496 -136
788 243 819
156 360 351
389 42 957
152 114 -919
655 595 -746
677 494 -436
835 612 -407
642 307 230
481 506 -252
680 597 904
10 598 750
189 68 628
129 601 345
663 90 -607
204 606 -195
52 227 -52
370 16 -491
536 596 -132
384 839 615
751 335 228
491 461 -25
620 333 9
749 494 311
566 199 -967
461 348 769
762 387 -11
426 741 461
111 269 291
99 157 900
