19
820 813
204 38 866
44 512 926
743 686 -562
463 287 -106
811 668 -551
781 607 637
270 230 -589
745 252 73
765 718 565
715 603 -691
300 704 632
317 355 741
537 569 -281
406 683 681
729 312 -659
431 333 777
595 423 -632
724 582 344
302 603 469
530 347 671
342 184 184
808 581 -861
196 482 891
374 363 24
157 190 -845
305 87 -618
629 301 599
630 796 -561
757 8 -385
341 78 -960
820 458 -864
331 781 343
765 222 -948
646 432 720
33 788 -428
534 204 804
671 575 439
237 737 611
189 446 660
153 411 -304
558 29 -365
532 649 -585
712 93 510
1 279 916
253 354 912
167 808 -889
228 62 744
9 485 77
327 512 -769
718 226 -277
339 286 -836
489 558 -187
787 701 651
816 624 960
739 562 220
681 517 889
673 125 -221
698 770 -982
277 544 -977
414 36 843
24 460 471
115 214 298
164 666 -245
520 300 -693
38 556 -98
523 271 197
318 261 -79
379 513 57
554 601 -424
743 85 -540
813 155 -590
505 454 -997
536 327 -61
728 9 -293
802 103 -510
168 465 111
273 384 455
279 311 -517
493 44 -31
529 171 894
572 646 -77
383 271 -591
760 543 -799
42 160 88
504 24 631
546 453 -651
287 49 -464
261 447 671
78 518 677
149 611 -105
547 252 -274
464 96 -581
804 483 117
645 374 -994
474 740 186
265 554 -480
780 550 733
277 71 -129
413 172 -747
660 719 -508
546 589 126
584 597 461
784 132 -975
298 616 -868
323 425 387
523 513 -555
510 324 -501
707 436 999
784 418 -221
286 237 94
48 455 -901
636 556 302
769 663 -120
535 300 618
723 341 900
311 551 -495
237 324 -601
75 615 -951
192 312 -478
530 472 252
536 86 114
491 691 -923
820 126 -774
642 714 -932
256 297 589
540 502 -373
368 578 -103
737 452 384
577 436 -677
167 446 -162
270 311 -89
55 244 -937
372 286 -19
448 79 63
105 143 476
114 697 -595
691 642 -300
718 647 -340
432 753 140
594 396 963
697 77 -860
491 528 -250
311 564 -387
792 459 363
296 114 -167
727 198 279
104 184 -104
364 380 93
105 33 291
542 684 753
167 434 -275
654 378 -58
773 487 -457
697 332 -978
577 578 166
143 666 806
356 434 -886
769 231 584
296 129 -878
649 6 915
437 742 -834
165 481 310
762 538 341
790 163 -41
163 427 -401
221 372 -718
422 346 708
426 720 423
816 582 289
178 741 547
729 581 644
758 572 -706
404 707 239
132 692 394
793 768 -607
576 72 -690
586 35 -789
789 693 -441
552 168 -689
914 971
510 179 146
54 82 -386
687 227 -795
830 538 -727
16 106 -460
880 786 -165
342 407 -203
864 304 241
68 492 -61
356 743 720
818 611 -347
402 544 45
154 862 336
111 733 -247
91 385 50
876 78 537
215 228 709
819 234 -760
118 532 691
285 500 870
230 163 370
633 827 239
882 703 463
696 405 -503
531 673 -533
401 706 341
891 58 -235
239 321 -260
874 679 262
895 430 184
413 351 52
602 286 -859
188 57 -163
299 121 -938
335 249 17
201 890 -183
204 603 926
581 345 -709
592 853 657
651 754 954
452 137 -133
378 222 -876
117 134 723
206 190 516
585 598 -206
159 504 -344
547 60 -585
667 736 -806
653 430 -550
395 167 -982
641 540 728
562 832 -146
765 532 784
721 349 -48
226 685 626
344 88 259
566 165 -457
477 317 449
115 238 -497
497 7 659
755 241 555
867 644 -465
99 338 -21
375 370 301
303 89 666
222 886 -916
700 796 745
361 643 -334
596 754 417
198 107 -5
669 225 -835
85 256 56
162 626 859
357 317 152
651 399 253
833 660 -504
773 687 831
861 66 -184
613 591 946
386 616 695
617 1 849
732 658 -909
351 820 -365
132 907 682
526 681 -681
601 187 -651
652 238 -792
137 659 -777
405 48 519
100 119 442
266 394 -832
18 55 164
471 411 98
101 401 -561
735 81 -222
810 775 383
68 711 500
352 897 -971
69 220 926
397 793 344
395 891 -495
341 656 657
623 812 -675
647 456 -552
194 632 -682
196 824 227
175 813 945
102 230 310
227 503 545
702 790 -798
304 673 -847
379 434 -70
640 418 844
570 549 -605
613 596 904
777 538 734
167 541 999
177 513 -225
189 137 696
54 435 -811
790 196 -401
147 95 567
265 550 -479
170 838 140
109 6 -368
368 774 674
531 553 -438
392 288 -309
804 176 -8
6 674 -315
45 335 -730
459 21 260
874 131 -639
266 232 -844
251 129 966
299 569 199
15 563 705
385 672 -38
778 219 562
479 658 690
819 246 -326
399 30 5
626 413 692
645 470 -773
695 276 -335
213 900 -111
666 160 804
259 422 816
870 146 336
103 61 107
134 140 -482
104 404 954
673 168 -635
38 864 263
462 524 -855
798 511 -595
291 299 463
903 779 935
422 797 276
638 348 -134
602 727 958
386 547 432
839 706 -499
326 669 76
29 798 -947
616 615 -3
81 302 -243
675 103 -277
247 706 -190
627 526 -53
210 761 -348
127 726 -894
91 71 530
781 839 -295
487 213 130
226 260 560
248 810 -824
215 281 -245
296 765 -470
246 550 -160
167 714 806
261 359 -760
242 474 -195
435 275 -483
487 28 -728
834 670 -204
299 188 9
380 591 368
434 80 -252
603 652 947
196 583 -306
572 314 806
149 515 478
379 295 -560
274 212 -752
128 897 879
4 85 400
859 375 108
51 551 -915
44 145 275
74 208 787
228 432 814
246 322 974
205 4 37
242 86 194
494 445 -862
159 31 387
488 382 945
380 343 -158
431 559 431
4 220 -66
587 558 -570
142 829 -757
87 579 225
95 560 647
299 525 482
726 681 125
770 529 523
719 696 -424
215 96 350
322 188 -808
372 573 919
176 505 -660
114 500 -605
373 1 349
776 810 -417
656 311 247
647 148 -765
619 104 -78
548 678 904
894 859 79
55 741 -835
512 645 132
585 177 -155
341 118 121
101 643 546
202 607 -769
841 531 305
230 438 -873
900 262 987
447 2 -949
348 594 -358
45 615 -30
171 515 917
485 79 -627
550 843 -863
832 704 -872
66 852 -428
87 479 885
462 78 5
261 295 595
865 396 -459
867 212 -530
213 288 943
878 53 -693
212 51 -958
26 278 534
647 556 128
336 191 -72
880 853 -928
294 37 -464
873 648 -315
739 728 -539
704 35 88
4 656 131
156 561 -832
58 625 -817
65 608 542
572 185 204
676 38 830
163 571 -108
478 724 -623
651 314 544
210 545 -338
446 484 114
203 286 216
403 635 381
302 195 908
15 833 482
386 588 666
555 394 457
146 805 872
537 231 -975
632 868 291
833 827 481
756 488 -921
685 717 -453
473 781 -84
721 521 658
407 435 411
513 164 270
250 713 947
820 604 -395
106 188 -805
263 839 110
75 729 481
77 831 -969
35 843 966
165 492 599
304 503 266
81 298 -801
403 514 501
131 341 109
771 756 -415
520 163 -658
226 485 249
210 452 915
222 888 616
296 737 552
251 174 -778
780 218 -978
795 216 -823
337 102 -84
294 144 526
678 659 918
55 784 -289
31 363 894
856 669 902
166 104 -992
175 604 -221
672 909 502
603 82 -582
759 603 -779
320 328 744
777 676 -118
524 830 487
792 819 806
776 328 732
108 284 925
176 452 -789
138 688 -302
344 694 -721
662 127 -949
894 464 -489
869 277 -372
899 519 369
460 202 -471
93 336 199
817 156 62
420 156 456
861 148 -804
788 54 709
904 421 -769
702 376 11
322 496 -617
23 125 -321
84 698 -262
87 444 110
782 175 729
475 835 -392
829 763 651
438 750 -516
443 552 777
219 420 -631
54 274 509
390 227 -768
772 9 -959
333 717 -251
791 796 110
167 492 -59
735 478 -506
673 865 -109
326 760 266
646 154 265
169 197 497
24 687 43
98 862 -195
839 217 -769
478 896 102
817 23 261
276 695 599
425 770 748
754 164 970
17 702 -306
43 321 47
292 101 34
129 22 90
519 289 -154
673 741 985
633 773 -89
362 131 -941
293 696 -286
662 158 -656
379 808 922
391 537 632
876 421 661
532 736 248
681 818 -855
841 392 678
721 334 -825
110 177 -364
545 490 -840
816 91 -641
224 173 -497
552 1 850
865 775 241
572 620 723
732 48 856
829 690 237
573 835 788
613 404 294
725 720 -215
265 783 -482
902 371 -300
687 742 -79
566 303 47
810 102 -786
108 707 -232
419 305 89
880 324 870
81 407 550
684 710 -357
487 558 -811
305 30 -934
89 558 281
10 97 -921
225 535 120
789 769 863
544 203 -278
647 223 808
893 905 -315
398 449 39
146 15 -280
758 128 -670
87 531 586
385 580 -230
221 19 632
645 80 -900
185 675 -367
466 844 110
736 704 -175
533 514 620
506 478 684
358 369 -355
753 141 -432
342 582 -991
815 792 541
422 895 28
440 55 820
599 478 834
910 521 -415
901 298 606
552 118 668
303 656 -294
825 840 -161
747 582 818
379 596 -986
768 894 462
121 744 330
899 449 600
451 62 -860
302 122 207
753 668 -192
758 473 466
348 623 -535
649 409 880
636 587 -269
147 615 -791
744 684 141
240 361 -99
889 679 -25
734 868 -848
276 486 167
869 33 -798
34 463 366
889 134 289
575 736 -541
574 515 -47
647 414 90
80 680 768
138 627 496
752 176 -278
547 478 -329
512 345 535
396 196 -215
791 876 876
543 473 -939
51 292 655
419 792 545
37 7 -497
492 651 261
797 135 -316
329 529 999
285 861 890
411 598 -146
65 617 842
577 763 474
649 9 -696
141 393 263
38 825 477
452 162 145
182 783 319
166 723 -257
7 613 522
36 525 998
199 625 -67
651 558 -626
223 886 273
541 302 -821
854 645 -756
685 322 -948
481 156 -399
278 121 -778
728 557 374
17 326 -233
25 624 644
283 182 -365
766 729 458
545 61 437
624 96 25
504 880 375
631 512 390
712 263 182
162 538 -879
814 205 -354
125 819 732
28 284 118
188 183 -462
244 490 338
416 154 947
428 860 384
862 526 264
270 76 -57
108 677 -160
206 174 -488
62 142 -878
712 292 81
717 493 744
12 480 -708
171 797 655
565 411 -973
597 767 332
822 229 344
6 470 263
272 622 159
718 712 -61
163 541 86
387 892 622
270 790 522
225 409 772
622 279 -155
671 264 550
398 396 28
510 579 -168
672 745 -106
291 52 201
354 16 -295
243 122 -191
121 780 -804
884 310 369
913 381 914
266 551 -363
568 805 -584
718 39 -425
281 188 113
217 619 641
53 888 -882
348 822 557
42 727 747
716 370 124
489 171 912
585 358 -534
507 626 -401
129 189 825
264 328 589
505 535 653
506 652 -202
239 835 51
356 878 -236
877 104 200
230 95 310
600 743 -363
858 358 949
271 543 -839
330 140 77
123 790 -331
382 545 235
731 187 797
280 910 284
344 557 -636
605 821 -250
671 641 -383
207 761 -974
664 160 415
57 425 950
244 599 -181
202 479 770
21 865 -451
388 422 -231
251 744 845
767 339 -473
887 76 318
78 613 -182
452 183 227
459 319 -851
709 242 603
703 166 -388
753 695 938
617 229 -930
768 94 311
506 223 436
99 749 641
808 779 663
264 32 -108
131 651 -122
20 256 -30
553 153 -538
861 705 285
888 240 859
496 306 843
86 278 295
359 659 888
516 423 867
610 20 -746
504 33 11
115 39 -807
843 794 -472
113 653 -205
651 57 322
799 497 377
464 163 605
457 546 270
814 570 546
783 144 216
556 216 -352
581 564 -877
382 289 -518
341 604 -667
362 349 -441
55 589 99
780 545 196
643 516 -800
711 271 -358
138 62 766
888 52 -52
315 724 308
713 786 214
193 294 -511
903 848 -937
731 906 -181
160 585 207
544 580 485
366 846 750
447 791 -327
616 682 -65
82 435 -79
467 640 -259
658 196 -832
623 761 924
339 491 -265
401 599 807
123 796 -818
70 777 -326
781 687 944
471 334 756
391 565 -516
134 689 -253
653 361 699
54 792 589
637 83 -911
687 324 -712
529 45 744
769 612 -491
172 368 -692
540 701 934
216 317 -886
709 100 991
343 825 -483
180 839 -549
394 631 330
152 358 -124
607 645 777
884 405 237
32 566 767
796 856 714
631 707 -611
773 815 -208
755 13 -770
117 850 485
490 736 -977
212 675 439
679 906 608
537 17 -360
87 3 237
613 204 -844
546 129 43
874 670 -300
150 324 44
53 818 -857
405 873 990
774 428 503
874 392 -751
815 881 13
4 688 -825
421 838 801
611 462 979
390 675 -627
94 704 -733
91 144 88
805 459 492
263 413 -893
753 345 -366
275 15 -341
41 106 506
203 454 526
402 159 -921
855 392 625
444 326 581
300 582 -637
554 523 914
204 290 354
255 220 101
232 146 -91
57 93 351
33 879 -908
886 623 -424
194 116 -470
428 155 -532
589 534 935
680 499 -878
665 238 206
178 685 364
138 566 379
631 468 761
384 492 -168
417 96 892
838 7 516
531 859 61
279 191 -29
844 589 48
252 160 -996
308 213 -442
296 388 557
134 662 -842
291 634 -548
509 245 -541
694 436 -701
162 337 -515
755 261 459
265 311 764
358 193 466
507 578 -879
186 602 -919
608 661 -932
885 330 9
739 840 -750
426 547 853
230 325 550
659 39 -342
182 705 -948
547 456 -315
720 763 -169
321 347 -180
401 555 341
406 702 776
256 497 -89
218 160 343
146 297 -949
105 337 893
228 581 -861
907 525 -814
816 299 -881
830 914 -588
415 581 237
732 723 452
820 463 -646
748 585 -448
290 650 -192
640 260 108
326 114 -40
91 581 400
253 97 -164
8 152 912
460 415 -184
303 429 -879
420 388 512
321 807 -883
576 671 -798
303 494 161
84 40 -887
559 766 515
601 251 -185
96 770 462
673 482 86
272 626 -494
852 140 561
138 791 589
645 341 -461
754 155 941
839 833 -939
535 615 652
690 553 901
467 42 -629
780 462 105
837 631 -388
691 386 -868
226 559 -299
854 360 237
785 546 -965
538 280 812
462 140 -868
114 223 587
115 167 147
53 26 267
468 501 670
752 218 -14
87 497 445
742 840 236
397 168 930
92 631 204
277 171 -506
34 172 534
154 659 497
866 317 -904
238 36 -650
70 660 615
570 71 -250
240 828 -293
34 903 -53
774 388 255
467 193 -347
869 188 -518
147 797 -900
485 389 79
777 579 990
699 65 -522
80 648 647
208 850 -65
206 501 -188
687 299 -371
408 260 848
644 655 -665
547 207 -279
633 608 431
877 547 249
790 545 467
269 914 636
309 176 131
893 769 -287
565 17 854
335 806 -644
491 342 -122
395 905 98
546 722 768
289 255 -991
57 657 -26
248 260 109
912 633 -580
184 517 -219
515 612 -905
163 594 -178
8 278 88
32 425 -949
413 832 332
859 641 471
589 220 517
74 864 -661
294 845 227
531 502 917
319 737 -638
300 552 140
859 416 -276
522 674 787
387 903 -30
445 356 271
193 549 -719
848 504 -282
564 678 -297
273 735 304
160 542 -45
363 303 168
207 62 -882
741 902 637
560 549 -443
860 416 795
807 830 773
191 152 722
206 169 -673
295 41 -279
562 147 711
467 443 390
752 467 796
9 687 150
834 773 -815
607 686 744
881 816 -968
13 852 773
532 42 -637
789 191 644
534 1 375
825 783 -20
543 834 861
870 887 -178
331 874 949
49 711 -169
559 38 -49
853 116 483
856 45 -25
631 49 86
473 784 -928
61 143 150
813 602 531
478 694 -923
453 322 663
409 420 -746
465 208 318
432 468 -474
324 201 546
327 65 142
455 799 845
482 114 -102
281 104 -400
462 324 858
799 423 -729
645 594 224
449 160 511
115 247 -761
702 682 320
801 710 816
370 712 390
21 131 965
421 252 -603
809 761 212
625 186 -117
868 550 193
817 649 -188
291 834 -445
508 440 -119
458 425 -272
642 63 -90
817 280 244
627 110 426
825 656 905
184 820 228
654 55 4
534 766 25
546 583 -389
349 908 347
751 831 -706
833 51 -279
687 345 543
293 215 211
452 537 -746
373 810 253
558 162 945
652 12 -853
549 762 -361
221 156 525
758 794 385
610 259 -897
150 782 -383
405 128 -362
456 799 -80
899 293 130
699 34 432
219 179 -664
400 870 373
82 830 -76
688 444 437
585 421 -456
657 274 524
647 874 -595
703 159 -517
725 178 500
198 369 -206
313 477 796
56 652 -129
234 728 64
261 40 943
822 46 219
912 367 -83
933 813
30 397 688
900 129 -424
725 352 64
835 783 210
808 148 -88
719 630 706
463 773 101
195 721 369
258 808 986
719 275 131
920 889 387
438 131 225
244 514 -654
30 605 -462
714 928 -404
616 14 448
557 448 718
825 107 -928
933 670 -234
204 426 -92
614 922 -188
779 596 549
852 873 443
745 446 770
533 481 943
167 752 -349
474 239 782
182 29 450
311 511 -301
235 773 -543
396 219 65
208 245 -465
649 327 -436
866 695 -626
126 671 588
337 118 418
306 729 -285
830 378 276
669 168 -500
26 208 -827
700 82 950
859 270 -584
149 727 876
746 579 69
2 749 207
920 212 936
256 100 -411
356 792 110
556 341 539
393 515 -177
171 61 -838
763 867 25
758 446 -540
202 42 -753
561 714 -629
318 44 531
866 831 157
290 893 476
327 54 -103
16 635 114
810 856 -224
709 464 406
918 656 -611
273 110 -167
267 49 -957
97 170 155
502 542 634
362 613 -164
272 177 -319
644 301 350
561 782 347
931 539 642
256 184 127
279 675 650
787 797 259
139 134 562
559 99 -481
403 672 561
824 263 -80
622 587 -340
342 917 -62
374 276 -731
347 670 217
794 572 799
210 675 471
497 517 -797
211 299 86
849 800 -416
274 62 -274
590 433 489
350 336 780
758 713 770
48 878 923
52 115 -790
477 190 -967
853 68 163
252 149 704
895 361 -483
906 900 -436
569 303 -193
359 400 -985
170 374 389
476 175 -955
279 632 961
780 88 812
791 530 189
486 888 -422
765 511 -415
659 189 131
657 595 62
794 106 -813
297 853 -861
699 859 -852
203 220 656
782 557 908
690 290 -900
556 101 141
233 852 165
489 475 -616
927 228 930
452 395 599
114 351 957
694 820 -668
425 834 5
824 197 -610
471 3 886
489 925 811
713 909 -493
12 655 961
248 173 -399
752 487 298
881 731 294
183 930 271
290 114 435
321 427 832
746 860 370
708 203 -87
802 261 931
602 130 -727
83 843 -401
84 251 -445
337 449 -723
229 69 481
769 102 608
730 120 -802
190 108 853
918 226 -264
342 91 -602
484 382 -116
47 357 310
379 384 -833
746 701 512
275 395 67
254 871 362
175 44 -156
405 23 364
758 748 799
912 139 341
26 762 -288
617 308 784
569 136 519
229 601 607
165 548 -613
835 767 652
226 846 -31
137 86 -912
13 623 940
596 360 894
155 390 -282
455 903 -332
228 268 556
278 645 -818
614 616 910
745 518 744
385 662 -977
441 145 -837
126 630 469
684 807 -779
510 197 29
631 691 959
738 528 -956
503 607 -746
737 812 938
385 570 851
640 715 522
874 521 161
515 136 -850
442 711 13
525 299 232
376 821 -419
399 741 -705
84 717 -737
743 320 -359
686 21 -516
73 98 785
461 182 240
412 255 852
561 510 -131
362 68 662
342 403 -659
818 350 -845
232 512 -34
868 115 -786
538 469 -691
362 897 -869
514 268 -742
763 364 886
803 41 -416
875 241 -552
266 200 302
339 890 880
647 440 -30
194 898 405
932 44 -760
350 724 584
557 678 -15
472 830 -357
610 220 168
597 932 465
843 682 -186
104 479 -265
775 877 680
562 724 -803
649 87 719
338 44 491
892 780 -818
78 508 -894
390 517 -237
709 625 384
728 599 703
35 855 -622
763 102 192
663 575 525
436 663 -845
348 572 -900
108 406 20
210 491 -97
411 276 -2
766 225 760
694 908 693
124 442 -487
176 416 486
207 82 -325
453 172 -162
328 362 683
619 438 -708
509 498 -960
760 141 -667
711 434 -913
211 81 -983
134 696 732
463 799 -60
143 642 -202
832 163 831
430 259 -340
328 175 687
798 397 -28
845 225 -813
634 903 -312
379 647 870
907 545 417
124 761 -785
412 87 -792
159 590 -435
719 582 535
507 278 376
587 897 -587
260 554 388
586 166 -385
894 722 184
697 797 995
860 111 -483
665 777 351
34 775 -198
339 366 -697
731 298 738
300 827 -56
298 50 585
54 737 460
742 787 437
703 124 -740
575 23 -474
886 148 424
342 583 160
471 144 -314
588 251 878
657 124 313
202 703 -162
458 183 525
54 180 -1000
390 23 923
394 259 -582
84 587 43
543 374 350
921 243 357
917 561 518
895 52 98
825 585 759
79 65 534
748 393 860
544 508 -827
270 612 680
45 371 -240
141 679 183
495 39 -14
6 261 -616
299 287 430
261 35 -669
135 183 445
155 45 399
22 376 -309
479 399 -632
756 618 -475
671 752 -319
561 60 -829
346 327 371
197 573 1000
67 558 614
6 104 599
466 488 -123
427 512 748
913 193 96
644 806 406
804 703 116
872 584 201
289 575 -760
545 796 731
867 748 312
234 202 -544
298 12 421
916 902 -722
258 498 699
373 387 538
519 428 -402
673 42 332
700 157 755
731 489 -809
400 193 -422
460 863 -318
58 845 -785
130 405 -922
805 132 -319
639 645 -18
902 89 -234
481 509 453
488 59 -98
714 160 946
441 859 -883
216 71 427
210 664 -969
198 727 -482
171 518 -850
122 559 -961
641 144 639
932 124 500
60 603 782
679 40 -69
269 506 -432
676 166 -337
317 172 -41
375 415 434
40 296 -324
659 325 -79
341 471 422
81 808 -626
455 205 732
330 927 240
275 841 -390
700 541 681
